date,code,name,price,status,source
2026-05-14,159869,游戏ETF,1.281,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,159915,创业板ETF,3.961,◇ 多头排列,scan_0514_intraday.log
2026-05-14,159995,芯片ETF,2.321,◇ 多头排列,scan_0514_intraday.log
2026-05-14,510300,沪深300ETF,4.941,- 趋势完好,scan_0514_intraday.log
2026-05-14,510500,中证500ETF,8.772,- 趋势完好,scan_0514_intraday.log
2026-05-14,512010,医药ETF,0.36,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,512100,中证1000ETF,3.529,- 趋势完好,scan_0514_intraday.log
2026-05-14,512200,房地产ETF,1.456,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,512400,有色金属ETF,2.13,▲ 接近支撑,scan_0514_intraday.log
2026-05-14,512480,半导体ETF,2.043,◇ 多头排列,scan_0514_intraday.log
2026-05-14,512580,环保ETF,1.436,- 趋势完好,scan_0514_intraday.log
2026-05-14,512660,军工ETF,1.419,- 趋势完好,scan_0514_intraday.log
2026-05-14,512690,酒ETF,0.466,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,512800,银行ETF,0.784,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,512880,证券ETF,1.071,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,512980,传媒ETF,0.979,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,515070,人工智能ETF,2.522,◇ 多头排列,scan_0514_intraday.log
2026-05-14,515790,光伏ETF,1.128,◇ 多头排列,scan_0514_intraday.log
2026-05-14,515880,通信ETF,1.544,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,516110,汽车ETF,1.294,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,516160,新能源ETF,3.223,- 趋势完好,scan_0514_intraday.log
2026-05-14,560080,黄金股ETF,0.994,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,562800,机器人ETF,1.132,- 趋势完好,scan_0514_intraday.log
2026-05-14,588000,科创50ETF,1.815,◇ 多头排列,scan_0514_intraday.log
2026-05-15,159869,游戏ETF,1.273,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,159915,创业板ETF,3.943,- 趋势完好,scan_0515_intraday.log
2026-05-15,159995,芯片ETF,2.321,- 趋势完好,scan_0515_intraday.log
2026-05-15,510300,沪深300ETF,4.879,- 趋势完好,scan_0515_intraday.log
2026-05-15,510500,中证500ETF,8.621,- 趋势完好,scan_0515_intraday.log
2026-05-15,512010,医药ETF,0.357,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512100,中证1000ETF,3.49,- 趋势完好,scan_0515_intraday.log
2026-05-15,512200,房地产ETF,1.435,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512400,有色金属ETF,2.038,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512480,半导体ETF,2.042,- 趋势完好,scan_0515_intraday.log
2026-05-15,512580,环保ETF,1.429,- 趋势完好,scan_0515_intraday.log
2026-05-15,512660,军工ETF,1.386,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512690,酒ETF,0.456,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512800,银行ETF,0.779,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512880,证券ETF,1.049,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,512980,传媒ETF,0.98,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,515070,人工智能ETF,2.479,- 趋势完好,scan_0515_intraday.log
2026-05-15,515790,光伏ETF,1.106,- 趋势完好,scan_0515_intraday.log
2026-05-15,515880,通信ETF,1.503,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,516110,汽车ETF,1.302,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,516160,新能源ETF,3.198,▲ 接近支撑,scan_0515_intraday.log
2026-05-15,560080,黄金股ETF,0.974,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,562800,机器人ETF,1.102,▲ 接近支撑,scan_0515_intraday.log
2026-05-15,588000,科创50ETF,1.793,- 趋势完好,scan_0515_intraday.log
2026-05-18,159869,游戏ETF,1.246,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,159915,创业板ETF,3.903,- 趋势完好,scan_0518_intraday.log
2026-05-18,159995,芯片ETF,2.324,- 趋势完好,scan_0518_intraday.log
2026-05-18,510300,沪深300ETF,4.829,▲ 接近支撑,scan_0518_intraday.log
2026-05-18,510500,中证500ETF,8.587,- 趋势完好,scan_0518_intraday.log
2026-05-18,512010,医药ETF,0.348,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,512100,中证1000ETF,3.49,- 趋势完好,scan_0518_intraday.log
2026-05-18,512200,房地产ETF,1.407,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,512400,有色金属ETF,1.997,✗ 趋势偏弱,scan_0518_intraday.log
