code,name,buy_count,buy_valid,buy_mixed,buy_fail,buy_pending,buy_avg_5d,buy_best_5d,sell_count,sell_valid,sell_mixed,sell_fail,sell_pending,sell_avg_5d,sell_best_avoid
512400,有色金属ETF,1,0,0,0,1,,-0.08120649651972145,1,0,0,0,1,,0.06528340080971662
512800,银行ETF,1,0,0,1,0,-0.05282555282555279,-0.014742014742014642,1,1,0,0,0,-0.04713375796178343,0.04713375796178343
159915,创业板ETF,1,0,0,0,1,,-0.02763187942452605,0,0,0,0,0,,
159995,芯片ETF,1,0,0,0,1,,0.07534246575342474,0,0,0,0,0,,
510300,沪深300ETF,1,1,0,0,0,0.011608961303462229,0.03686354378818746,0,0,0,0,0,,
510500,中证500ETF,1,0,0,0,1,,-0.002442544687465298,0,0,0,0,0,,
512100,中证1000ETF,1,1,0,0,0,0.017187052420509996,0.025494127757089702,0,0,0,0,0,,
512480,半导体ETF,1,0,0,0,1,,0.08346394984326011,0,0,0,0,0,,
512880,证券ETF,1,0,0,0,1,,0.0,0,0,0,0,0,,
515070,人工智能ETF,1,1,0,0,0,0.04132231404958686,0.059818968909878034,0,0,0,0,0,,
562800,稀有金属ETF,1,1,0,0,0,0.06198723792160443,0.06198723792160443,0,0,0,0,0,,
588000,科创50ETF,1,1,0,0,0,0.11139762764311478,0.11139762764311478,0,0,0,0,0,,
