code,name,date,event_type,status,price,source,log_kind,log_time,eval_label,ret_1d,ret_3d,ret_5d,max_5d,min_5d
510500,中证500ETF,2026-05-12,buy,★ 买入信号,8.912,scan_0512.log,close,16:46:01,存疑,0.01088420107719923,-0.03265260323159791,-0.024685816876122146,0.01088420107719923,-0.0364676840215441
512200,房地产ETF,2026-05-12,buy,★ 买入信号,1.509,scan_0512.log,close,16:46:01,失效,-0.011928429423459064,-0.049039098740887854,-0.05500331345261755,-0.011928429423459064,-0.06759443339960225
512400,有色金属ETF,2026-05-12,buy,★ 买入信号,2.208,scan_0512.log,close,16:46:01,存疑,0.00045289855072461194,-0.07699275362318858,-0.10371376811594202,0.00045289855072461194,-0.10371376811594202
512580,环保ETF,2026-05-12,buy,★ 买入信号,1.47,scan_0512.log,close,16:46:01,存疑,0.0006802721088436936,-0.027891156462585,-0.0217687074829932,0.0006802721088436936,-0.03197278911564616
512660,军工ETF,2026-05-12,buy,★ 买入信号,1.483,scan_0512.log,close,16:46:01,存疑,0.003371544167228624,-0.06540795684423484,-0.07215104517869197,0.003371544167228624,-0.07619689817936615
515790,光伏ETF,2026-05-12,buy,★ 买入信号,1.123,scan_0512.log,close,16:46:01,存疑,0.02048085485307194,-0.015138023152270641,-0.0044523597506677115,0.02048085485307194,-0.024042742653606286
512200,房地产ETF,2026-05-14,sell_proxy,✗ 趋势偏弱,1.456,scan_0514_intraday.log,intraday,15:32:49,有效,-0.014423076923076872,-0.020604395604395642,-0.06112637362637363,-0.014423076923076872,-0.06112637362637363
512400,有色金属ETF,2026-05-15,sell_proxy,✗ 趋势偏弱,2.038,scan_0515_intraday.log,intraday,14:50:25,有效,-0.020117762512266824,-0.02698724239450423,-0.010304219823356164,-0.010304219823356164,-0.04121687929342488
512660,军工ETF,2026-05-15,sell_proxy,✗ 趋势偏弱,1.386,scan_0515_intraday.log,intraday,14:50:25,有效,-0.011544011544011412,-0.011544011544011412,-0.023088023088022935,-0.00721500721500723,-0.03246753246753242
515790,光伏ETF,2026-05-29,sell_proxy,✗ 趋势偏弱,1.071,scan_20260529_intraday.log,intraday,14:43:30,有效,-0.004668534080298659,-0.0056022408963585235,-0.02894491129785237,-0.004668534080298659,-0.02894491129785237
512580,环保ETF,2026-06-02,sell,▲ 接近支撑,1.405,scan_20260602_morning.log,intraday,15:34:10,有效,-0.003558718861210064,-0.04270462633451966,-0.05409252669039155,-0.003558718861210064,-0.07686832740213534
510500,中证500ETF,2026-06-08,sell_proxy,✗ 趋势偏弱,8.068,scan_20260608_intraday.log,intraday,15:53:00,失效,0.02503718393653931,0.008056519583539812,0.058998512642538525,0.058998512642538525,0.008056519583539812
512800,银行ETF,2026-06-12,buy,★ 买入信号,0.814,scan_20260612_intraday.log,intraday,15:34:10,失效,-0.014742014742014642,-0.035626535626535505,-0.05282555282555279,-0.014742014742014642,-0.0589680589680589
562800,稀有金属ETF,2026-06-12,buy,★ 买入信号,1.097,scan_20260612_intraday.log,intraday,15:34:10,有效,0.0,0.05651777575205119,0.06198723792160443,0.06198723792160443,0.0
510300,沪深300ETF,2026-06-16,buy,★ 买入信号,4.91,scan_20260616_intraday.log,intraday,15:34:05,有效,0.009775967413441888,0.03686354378818746,0.011608961303462229,0.03686354378818746,0.006517311608961407
512100,中证1000ETF,2026-06-16,buy,★ 买入信号,3.491,scan_20260616_intraday.log,intraday,15:34:05,有效,0.008020624462904635,0.025494127757089702,0.017187052420509996,0.025494127757089702,0.005442566599828114
512800,银行ETF,2026-06-17,sell_proxy,✗ 趋势偏弱,0.785,scan_20260617_intraday.log,intraday,15:34:11,有效,-0.02420382165605095,-0.008917197452229297,-0.031847133757961776,-0.008917197452229297,-0.031847133757961776
515070,人工智能ETF,2026-06-17,buy,★ 买入信号,2.541,scan_20260617_intraday.log,intraday,15:34:11,有效,0.04958677685950419,0.02046438410074769,0.057064147973239,0.059818968909878034,0.02046438410074769
588000,科创50ETF,2026-06-17,buy,★ 买入信号,1.939,scan_20260617_intraday.log,intraday,15:34:11,有效,0.04022692109334702,0.04332129963898912,0.10056730273336756,0.10056730273336756,0.04022692109334702
159915,创业板ETF,2026-06-22,buy,★ 买入信号,4.379,scan_20260622_intraday.log,intraday,15:34:09,待观察,-0.03859328613838764,-0.022607901347339365,,-0.022607901347339365,-0.03859328613838764
159995,芯片ETF,2026-06-22,buy,★ 买入信号,2.92,scan_20260622_intraday.log,intraday,15:34:09,待观察,-0.022945205479452002,0.0626712328767125,,0.07534246575342474,-0.022945205479452002
510500,中证500ETF,2026-06-22,buy,★ 买入信号,9.007,scan_20260622_intraday.log,intraday,15:34:09,待观察,-0.021316753636060892,-0.0036638170311978913,,-0.002442544687465298,-0.021316753636060892
512400,有色金属ETF,2026-06-22,buy,★ 买入信号,2.155,scan_20260622_intraday.log,intraday,15:34:09,待观察,-0.08306264501160088,-0.10440835266821336,,-0.08120649651972145,-0.14292343387470996
512480,半导体ETF,2026-06-22,buy,★ 买入信号,2.552,scan_20260622_intraday.log,intraday,15:34:09,待观察,-0.01567398119122254,0.06308777429467094,,0.08346394984326011,-0.01567398119122254
512880,证券ETF,2026-06-22,buy,★ 买入信号,1.131,scan_20260622_intraday.log,intraday,15:34:09,待观察,0.0,0.006189213085764811,,0.006189213085764811,-0.017683465959328015
512400,有色金属ETF,2026-06-23,sell_proxy,✗ 趋势偏弱,1.976,scan_20260623_intraday.log,intraday,15:34:09,待观察,0.002024291497975783,-0.06528340080971662,,0.002024291497975783,-0.06528340080971662
