code,name,buy_count,buy_valid,buy_mixed,buy_fail,buy_pending,buy_avg_5d,buy_best_5d,sell_count,sell_valid,sell_mixed,sell_fail,sell_pending,sell_avg_5d,sell_best_avoid
512400,有色金属ETF,2,0,1,0,1,-0.10371376811594202,0.00045289855072461194,2,1,0,0,1,-0.010304219823356164,0.06528340080971662
510500,中证500ETF,2,0,1,0,1,-0.024685816876122146,0.01088420107719923,1,0,0,1,0,0.058998512642538525,-0.008056519583539812
512200,房地产ETF,1,0,0,1,0,-0.05500331345261755,-0.011928429423459064,1,1,0,0,0,-0.06112637362637363,0.06112637362637363
512580,环保ETF,1,0,1,0,0,-0.0217687074829932,0.0006802721088436936,1,1,0,0,0,-0.05409252669039155,0.07686832740213534
512660,军工ETF,1,0,1,0,0,-0.07215104517869197,0.003371544167228624,1,1,0,0,0,-0.023088023088022935,0.03246753246753242
512800,银行ETF,1,0,0,1,0,-0.05282555282555279,-0.014742014742014642,1,1,0,0,0,-0.031847133757961776,0.031847133757961776
515790,光伏ETF,1,0,1,0,0,-0.0044523597506677115,0.02048085485307194,1,1,0,0,0,-0.02894491129785237,0.02894491129785237
159915,创业板ETF,1,0,0,0,1,,-0.022607901347339365,0,0,0,0,0,,
159995,芯片ETF,1,0,0,0,1,,0.07534246575342474,0,0,0,0,0,,
510300,沪深300ETF,1,1,0,0,0,0.011608961303462229,0.03686354378818746,0,0,0,0,0,,
512100,中证1000ETF,1,1,0,0,0,0.017187052420509996,0.025494127757089702,0,0,0,0,0,,
512480,半导体ETF,1,0,0,0,1,,0.08346394984326011,0,0,0,0,0,,
512880,证券ETF,1,0,0,0,1,,0.006189213085764811,0,0,0,0,0,,
515070,人工智能ETF,1,1,0,0,0,0.057064147973239,0.059818968909878034,0,0,0,0,0,,
562800,稀有金属ETF,1,1,0,0,0,0.06198723792160443,0.06198723792160443,0,0,0,0,0,,
588000,科创50ETF,1,1,0,0,0,0.10056730273336756,0.10056730273336756,0,0,0,0,0,,
