代码,名称,现价,MA5,MA10,MA20,MA50,MA100,距MA50,量比,回踩MA50,MA5拐头,状态,日期
159869,游戏ETF,1.309,1.329,1.31,1.317,1.341,1.435,-2.4%,1.08,是,↑,✗ 趋势偏弱,2026-05-12
159915,创业板ETF,3.94,3.865,3.764,3.687,3.432,3.344,+14.8%,0.95,否,↑,◇ 多头排列,2026-05-12
159995,芯片ETF,2.326,2.25,2.119,1.98,1.853,1.855,+25.5%,1.33,否,↑,◇ 多头排列,2026-05-12
510300,沪深300ETF,4.963,4.923,4.859,4.797,4.676,4.711,+6.1%,0.95,否,↑,◇ 多头排列,2026-05-12
510500,中证500ETF,8.862,8.794,8.579,8.409,8.215,8.105,+7.9%,0.77,否,↑,◇ 多头排列,2026-05-12
510880,红利ETF,3.257,3.279,3.296,3.269,3.275,3.218,-0.6%,0.86,是,↓,✗ 趋势偏弱,2026-05-12
512010,医药ETF,0.372,0.369,0.369,0.369,0.368,0.378,+1.0%,2.16,是,↓,✗ 趋势偏弱,2026-05-12
512100,中证1000ETF,3.54,3.505,3.42,3.36,3.263,3.229,+8.5%,0.6,否,↑,◇ 多头排列,2026-05-12
512200,房地产ETF,1.51,1.488,1.444,1.414,1.417,1.471,+6.6%,1.83,否,↑,◇ 多头排列,2026-05-12
512400,有色金属ETF,2.188,2.202,2.152,2.146,2.133,2.104,+2.6%,1.44,否,↑,- 趋势完好,2026-05-12
512480,半导体ETF,2.025,1.961,1.852,1.736,1.611,1.593,+25.7%,1.04,否,↑,◇ 多头排列,2026-05-12
512580,环保ETF,1.458,1.463,1.439,1.413,1.383,1.346,+5.4%,0.72,否,↑,- 趋势完好,2026-05-12
512660,军工ETF,1.469,1.46,1.424,1.406,1.398,1.406,+5.1%,1.34,否,↑,◇ 多头排列,2026-05-12
512690,酒ETF,0.469,0.475,0.48,0.484,0.495,0.52,-5.3%,1.3,是,↓,✗ 趋势偏弱,2026-05-12
512800,银行ETF,0.782,0.785,0.793,0.796,0.792,0.796,-1.3%,1.33,是,↓,✗ 趋势偏弱,2026-05-12
512880,证券ETF,1.102,1.092,1.08,1.077,1.082,1.146,+1.8%,1.47,是,↑,✗ 趋势偏弱,2026-05-12
512890,红利低波ETF,1.176,1.178,1.185,1.187,1.188,1.178,-1.0%,1.06,是,↓,✗ 趋势偏弱,2026-05-12
512980,传媒ETF,1.007,1.023,1.006,1.016,1.027,1.068,-2.0%,1.15,是,↑,✗ 趋势偏弱,2026-05-12
513180,恒生科技ETF,0.645,0.648,0.638,0.636,0.635,0.688,+1.6%,0.99,是,↑,✗ 趋势偏弱,2026-05-12
515070,人工智能ETF,2.487,2.421,2.319,2.229,2.048,2.029,+21.4%,0.89,否,↑,◇ 多头排列,2026-05-12
515790,光伏ETF,1.122,1.106,1.08,1.075,1.091,1.063,+2.8%,1.24,是,↑,◇ 多头排列,2026-05-12
515880,通信ETF,1.501,1.436,1.385,1.341,1.19,1.919,+26.2%,1.14,否,↑,✗ 趋势偏弱,2026-05-12
516110,汽车ETF,1.324,1.33,1.325,1.33,1.326,1.365,-0.1%,1.07,是,↑,✗ 趋势偏弱,2026-05-12
516160,新能源ETF,3.297,3.337,3.29,3.231,3.137,3.046,+5.1%,1.16,否,↑,- 趋势完好,2026-05-12
517520,黄金股ETF,2.244,2.267,2.218,2.258,2.339,2.334,-4.1%,0.98,是,↑,✗ 趋势偏弱,2026-05-12
562500,机器人ETF,1.13,1.109,1.065,1.032,1.0,1.019,+12.9%,1.33,否,↑,◇ 多头排列,2026-05-12
562800,稀有金属ETF,1.179,1.195,1.162,1.13,1.082,1.039,+9.0%,0.93,否,↑,- 趋势完好,2026-05-12
588000,科创50ETF,1.816,1.773,1.679,1.585,1.489,1.497,+22.0%,1.02,否,↑,◇ 多头排列,2026-05-12
159869,游戏ETF,1.324,1.331,1.315,1.316,1.337,1.435,-0.9%,0.82,是,↑,✗ 趋势偏弱,2026-05-13
159915,创业板ETF,4.048,3.917,3.801,3.717,3.447,3.353,+17.4%,0.93,否,↑,◇ 多头排列,2026-05-13
159995,芯片ETF,2.384,2.286,2.166,2.01,1.861,1.862,+28.1%,1.14,否,↑,◇ 多头排列,2026-05-13
510300,沪深300ETF,5.017,4.949,4.883,4.815,4.682,4.714,+7.2%,1.18,否,↑,◇ 多头排列,2026-05-13
510500,中证500ETF,9.009,8.865,8.647,8.458,8.223,8.122,+9.6%,0.77,否,↑,◇ 多头排列,2026-05-13
510880,红利ETF,3.244,3.259,3.293,3.27,3.276,3.219,-1.0%,0.89,是,↓,✗ 趋势偏弱,2026-05-13
512010,医药ETF,0.37,0.369,0.369,0.369,0.368,0.378,+0.5%,1.24,是,↑,✗ 趋势偏弱,2026-05-13
512100,中证1000ETF,3.598,3.538,3.447,3.38,3.267,3.235,+10.1%,0.56,否,↑,◇ 多头排列,2026-05-13
512200,房地产ETF,1.491,1.494,1.455,1.422,1.416,1.471,+5.3%,0.86,否,↑,- 趋势完好,2026-05-13
512400,有色金属ETF,2.209,2.204,2.161,2.152,2.13,2.108,+3.7%,1.15,否,↑,◇ 多头排列,2026-05-13
512480,半导体ETF,2.088,1.996,1.893,1.762,1.618,1.6,+29.0%,1.09,否,↑,◇ 多头排列,2026-05-13
512580,环保ETF,1.471,1.463,1.445,1.419,1.385,1.348,+6.2%,0.72,否,↑,◇ 多头排列,2026-05-13
512660,军工ETF,1.488,1.472,1.433,1.413,1.397,1.408,+6.5%,1.26,否,↑,◇ 多头排列,2026-05-13
512690,酒ETF,0.462,0.472,0.477,0.483,0.494,0.519,-6.5%,1.21,是,↓,✗ 趋势偏弱,2026-05-13
512800,银行ETF,0.78,0.783,0.79,0.795,0.792,0.796,-1.5%,1.14,是,↓,✗ 趋势偏弱,2026-05-13
512880,证券ETF,1.095,1.093,1.084,1.078,1.081,1.144,+1.3%,1.12,是,↑,✗ 趋势偏弱,2026-05-13
512890,红利低波ETF,1.177,1.177,1.183,1.186,1.188,1.178,-1.0%,0.89,是,↓,✗ 趋势偏弱,2026-05-13
512980,传媒ETF,1.024,1.026,1.009,1.016,1.025,1.069,-0.1%,0.83,是,↑,✗ 趋势偏弱,2026-05-13
513180,恒生科技ETF,0.646,0.65,0.639,0.637,0.634,0.686,+1.8%,0.98,否,↑,✗ 趋势偏弱,2026-05-13
515070,人工智能ETF,2.576,2.467,2.357,2.257,2.058,2.035,+25.1%,0.99,否,↑,◇ 多头排列,2026-05-13
515790,光伏ETF,1.146,1.118,1.089,1.08,1.092,1.065,+5.0%,1.63,是,↑,◇ 多头排列,2026-05-13
515880,通信ETF,1.557,1.477,1.407,1.358,1.199,1.905,+29.9%,0.98,否,↑,✗ 趋势偏弱,2026-05-13
516110,汽车ETF,1.322,1.329,1.325,1.33,1.325,1.364,-0.2%,1.53,是,↓,✗ 趋势偏弱,2026-05-13
516160,新能源ETF,3.328,3.326,3.299,3.244,3.141,3.05,+5.9%,1.05,否,↓,◇ 多头排列,2026-05-13
517520,黄金股ETF,2.234,2.267,2.221,2.254,2.332,2.337,-4.2%,0.9,是,↑,✗ 趋势偏弱,2026-05-13
562500,机器人ETF,1.156,1.129,1.08,1.041,1.002,1.02,+15.4%,1.29,否,↑,◇ 多头排列,2026-05-13
562800,稀有金属ETF,1.182,1.189,1.168,1.137,1.082,1.042,+9.2%,0.8,否,↓,- 趋势完好,2026-05-13
588000,科创50ETF,1.865,1.798,1.712,1.606,1.495,1.502,+24.8%,1.18,否,↑,◇ 多头排列,2026-05-13
159869,游戏ETF,1.281,1.32,1.315,1.314,1.332,1.433,-3.8%,1.07,是,↓,✗ 趋势偏弱,2026-05-14
159915,创业板ETF,3.961,3.94,3.832,3.742,3.46,3.361,+14.5%,1.11,否,↑,◇ 多头排列,2026-05-14
159995,芯片ETF,2.321,2.303,2.198,2.037,1.869,1.868,+24.2%,0.94,否,↑,◇ 多头排列,2026-05-14
510300,沪深300ETF,4.941,4.955,4.899,4.83,4.686,4.717,+5.4%,0.93,否,↑,- 趋势完好,2026-05-14
510500,中证500ETF,8.772,8.865,8.688,8.495,8.223,8.137,+6.7%,1.29,否,↑,- 趋势完好,2026-05-14
510880,红利ETF,3.223,3.25,3.287,3.27,3.276,3.219,-1.6%,0.75,是,↓,✗ 趋势偏弱,2026-05-14
512010,医药ETF,0.36,0.368,0.369,0.369,0.368,0.378,-2.1%,1.81,是,↓,✗ 趋势偏弱,2026-05-14
512100,中证1000ETF,3.529,3.546,3.466,3.395,3.269,3.24,+8.0%,0.71,否,↑,- 趋势完好,2026-05-14
512200,房地产ETF,1.456,1.491,1.462,1.426,1.414,1.47,+3.0%,0.76,否,↓,✗ 趋势偏弱,2026-05-14
512400,有色金属ETF,2.13,2.188,2.165,2.154,2.125,2.112,+0.2%,1.16,是,↓,▲ 接近支撑,2026-05-14
512480,半导体ETF,2.043,2.015,1.922,1.786,1.626,1.606,+25.7%,0.97,否,↑,◇ 多头排列,2026-05-14
512580,环保ETF,1.436,1.457,1.448,1.423,1.387,1.349,+3.5%,0.74,否,↓,- 趋势完好,2026-05-14
512660,军工ETF,1.419,1.467,1.436,1.417,1.394,1.41,+1.8%,1.31,否,↓,- 趋势完好,2026-05-14
512690,酒ETF,0.466,0.47,0.476,0.481,0.493,0.518,-5.5%,1.95,是,↓,✗ 趋势偏弱,2026-05-14
512800,银行ETF,0.784,0.783,0.789,0.795,0.792,0.795,-1.1%,1.19,是,↓,✗ 趋势偏弱,2026-05-14
512880,证券ETF,1.071,1.089,1.085,1.078,1.079,1.143,-0.7%,1.19,是,↓,✗ 趋势偏弱,2026-05-14
512890,红利低波ETF,1.176,1.177,1.182,1.186,1.189,1.178,-1.1%,0.84,是,↓,✗ 趋势偏弱,2026-05-14
512980,传媒ETF,0.979,1.014,1.008,1.015,1.021,1.069,-4.1%,1.56,是,↓,✗ 趋势偏弱,2026-05-14
513180,恒生科技ETF,0.646,0.648,0.641,0.639,0.634,0.685,+1.9%,1.56,否,↓,✗ 趋势偏弱,2026-05-14
515070,人工智能ETF,2.522,2.489,2.386,2.281,2.068,2.041,+22.0%,0.93,否,↑,◇ 多头排列,2026-05-14
515790,光伏ETF,1.128,1.123,1.096,1.084,1.092,1.067,+3.3%,1.87,是,↑,◇ 多头排列,2026-05-14
515880,通信ETF,1.544,1.503,1.426,1.374,1.207,1.89,+27.9%,1.24,否,↑,✗ 趋势偏弱,2026-05-14
516110,汽车ETF,1.294,1.322,1.321,1.328,1.323,1.364,-2.2%,0.78,是,↓,✗ 趋势偏弱,2026-05-14
516160,新能源ETF,3.223,3.298,3.299,3.25,3.143,3.054,+2.5%,0.93,否,↓,▲ 接近支撑,2026-05-14
517520,黄金股ETF,2.153,2.242,2.218,2.247,2.322,2.339,-7.3%,1.0,是,↓,✗ 趋势偏弱,2026-05-14
562500,机器人ETF,1.128,1.135,1.09,1.049,1.003,1.022,+12.5%,1.25,否,↑,- 趋势完好,2026-05-14
562800,稀有金属ETF,1.132,1.176,1.17,1.14,1.081,1.044,+4.7%,1.18,否,↓,▲ 接近支撑,2026-05-14
588000,科创50ETF,1.815,1.807,1.734,1.625,1.5,1.506,+21.0%,1.18,否,↑,◇ 多头排列,2026-05-14
159869,游戏ETF,1.274,1.304,1.314,1.313,1.328,1.432,-4.1%,0.97,是,↓,✗ 趋势偏弱,2026-05-15
159915,创业板ETF,3.97,3.973,3.869,3.763,3.473,3.368,+14.3%,1.39,否,↑,- 趋势完好,2026-05-15
159995,芯片ETF,2.315,2.331,2.231,2.061,1.876,1.874,+23.4%,1.2,否,↑,- 趋势完好,2026-05-15
510300,沪深300ETF,4.878,4.953,4.91,4.838,4.689,4.718,+4.0%,0.92,否,↓,- 趋势完好,2026-05-15
510500,中证500ETF,8.612,8.833,8.722,8.518,8.221,8.151,+4.8%,1.79,否,↓,- 趋势完好,2026-05-15
510880,红利ETF,3.223,3.242,3.277,3.27,3.274,3.22,-1.6%,1.15,是,↓,✗ 趋势偏弱,2026-05-15
512010,医药ETF,0.356,0.366,0.367,0.368,0.367,0.377,-3.1%,1.14,是,↓,✗ 趋势偏弱,2026-05-15
512100,中证1000ETF,3.488,3.542,3.485,3.407,3.271,3.245,+6.7%,1.21,否,↓,- 趋势完好,2026-05-15
512200,房地产ETF,1.433,1.48,1.467,1.428,1.413,1.469,+1.4%,1.16,是,↓,✗ 趋势偏弱,2026-05-15
512400,有色金属ETF,2.039,2.155,2.165,2.149,2.116,2.115,-3.6%,1.3,是,↓,✗ 趋势偏弱,2026-05-15
512480,半导体ETF,2.035,2.042,1.952,1.807,1.633,1.612,+24.6%,1.47,否,↑,- 趋势完好,2026-05-15
